iter	Passed	Remaining
0	172	172524
1	249	124406
2	301	100132
3	357	89059
4	403	80260
5	449	74385
6	497	70574
7	543	67430
8	598	65856
9	642	63630
10	685	61621
11	727	59894
12	775	58898
13	823	58001
14	865	56852
15	913	56207
16	1118	64689
17	1227	66948
18	1309	67636
19	1413	69281
20	1482	69091
21	1630	72494
22	1734	73689
23	1773	72130
24	1816	70832
25	1871	70107
26	1941	69957
27	1993	69205
28	2042	68395
29	2184	70641
30	2258	70581
31	2297	69490
32	2336	68455
33	2377	67540
34	2427	66916
35	2472	66210
36	2516	65502
37	2556	64722
38	2605	64197
39	2650	63614
40	2705	63293
41	2775	63302
42	2878	64059
43	2936	63806
44	2992	63504
45	3041	63081
46	3084	62542
47	3129	62071
48	3182	61763
49	3233	61437
50	3280	61050
51	3325	60631
52	3368	60182
53	3414	59816
54	3457	59401
55	3499	58984
56	3534	58479
57	3576	58082
58	3616	57674
59	3664	57412
60	3708	57093
61	3753	56789
62	3794	56437
63	3837	56121
64	3875	55747
65	3912	55365
66	3954	55074
67	3996	54778
68	4033	54422
69	4076	54153
70	4113	53817
71	4148	53465
72	4185	53146
73	4219	52802
74	4258	52525
75	4297	52245
76	4335	51963
77	4390	51895
78	4451	51902
79	4498	51728
80	4551	51635
81	4598	51475
82	4642	51289
83	4677	51008
84	4718	50793
85	4754	50532
86	4792	50297
87	4832	50084
88	4868	49836
89	4907	49622
90	4945	49401
91	4984	49199
92	5035	49106
93	5077	48939
94	5130	48872
95	5190	48873
96	5254	48913
97	5313	48905
98	5367	48850
99	5423	48811
100	5488	48856
101	5554	48898
102	5623	48974
103	5679	48927
104	5720	48757
105	5783	48773
106	5849	48819
107	5907	48795
108	5979	48881
109	6056	49006
110	6142	49195
111	6201	49168
112	6249	49053
113	6316	49089
114	6407	49312
115	6473	49336
116	6588	49723
117	6678	49918
118	6754	50008
119	6827	50066
120	6903	50152
121	7096	51068
122	7206	51385
123	7299	51568
124	7439	52075
125	7517	52147
126	7635	52489
127	7696	52433
128	7762	52409
129	7820	52338
130	7873	52232
131	7915	52051
132	7991	52096
133	8055	52057
134	8103	51919
135	8215	52192
136	8297	52270
137	8369	52279
138	8462	52415
139	8514	52305
140	8594	52358
141	8652	52281
142	8729	52313
143	8818	52423
144	8940	52719
145	9005	52678
146	9078	52679
147	9127	52546
148	9206	52582
149	9267	52513
150	9313	52365
151	9367	52262
152	9432	52218
153	9488	52126
154	9544	52032
155	9587	51872
156	9647	51801
157	9705	51720
